id,userid,username,createdDate,conversationId,tweetText,retweet,reply,like,quotes,isRetweet,repliedToUserId,repliedToUsername,replyTweetId,toxicityScore,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
3932641640,7849114353,testUsername,2022-01-19 17:59:17,6988111565,some text of a tweet,0,2,1,0,False,2996888908,replyUsername,6988111565,0.06252546,37,15.54,70.57,21.26,97.99,12.33,8.11,89.19,62.16,24.32,10.81,2.7,2.7,5.41,0.0,0.0,13.51,5.41,10.81,8.11,8.11,5.41,5.41,16.22,5.41,0.0,2.7,0.0,8.11,5.41,5.41,0.0,0.0,0.0,0.0,13.51,0.0,2.7,0.0,2.7,13.51,0.0,0.0,0.0,0.0,5.41,8.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.11,2.7,0.0,0.0,2.7,2.7,5.41,10.81,0.0,5.41,0.0,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.32,5.41,0.0,0.0,0.0,0.0,5.41,2.7,0.0,5.41,0.0,5.41
3376914891,8831814110,testUsername,2022-01-19 17:04:28,6988111565,some text of a tweet,0,0,0,0,False,8452978433,replyUsername,6283469435,0.15001574,11,99.0,81.84,31.94,25.77,11.0,18.18,72.73,36.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,18.18,0.0,9.09,0.0,0.0,9.09,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,9.09,0.0,9.09,18.18,18.18,0.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.64,0.0,0.0,0.0,0.0,0.0,9.09,18.18,0.0,0.0,0.0,36.36
9057772174,5720560755,testUsername,2022-01-19 16:55:17,6988111565,some text of a tweet,0,0,0,0,False,2996888908,replyUsername,6988111565,0.026207292,10,98.58,84.14,43.37,25.77,5.0,0.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,20.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
491553472,4580000197,testUsername,2022-01-19 15:53:24,6988111565,some text of a tweet,0,0,0,0,False,2996888908,replyUsername,6988111565,0.8202001,36,95.47,71.09,4.97,1.0,12.0,16.67,86.11,38.89,5.56,2.78,0.0,0.0,2.78,0.0,0.0,2.78,16.67,5.56,5.56,5.56,2.78,0.0,11.11,8.33,5.56,0.0,0.0,2.78,16.67,5.56,11.11,0.0,8.33,2.78,5.56,0.0,2.78,0.0,2.78,11.11,2.78,0.0,0.0,5.56,2.78,0.0,0.0,0.0,0.0,0.0,5.56,5.56,0.0,0.0,0.0,8.33,0.0,0.0,2.78,5.56,0.0,0.0,5.56,2.78,8.33,0.0,8.33,0.0,2.78,0.0,0.0,0.0,0.0,0.0,5.56,2.78,0.0,0.0,2.78,0.0,11.11,2.78,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0,5.56
3122947504,327027861,testUsername,2022-01-19 15:39:40,6988111565,some text of a tweet,0,2,0,0,False,2996888908,replyUsername,6988111565,0.3411882,23,5.4,9.62,99.0,25.77,11.5,4.35,91.3,52.17,17.39,8.7,4.35,0.0,4.35,0.0,0.0,8.7,4.35,4.35,13.04,8.7,4.35,8.7,13.04,8.7,4.35,0.0,0.0,13.04,0.0,0.0,0.0,0.0,0.0,0.0,13.04,0.0,8.7,0.0,8.7,30.43,8.7,4.35,0.0,4.35,0.0,17.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,4.35,4.35,17.39,0.0,8.7,17.39,4.35,0.0,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.74,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,8.7,0.0,8.7
5046232110,545978456,testUsername,2022-01-19 15:36:10,6988111565,some text of a tweet,0,0,1,0,False,220208032,replyUsername,809619211,0.35227737,10,98.58,84.14,1.0,25.77,10.0,30.0,50.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,50.0
6283469435,8452978433,testUsername,2022-01-19 15:21:55,6988111565,some text of a tweet,0,1,4,0,False,2996888908,replyUsername,6988111565,0.08635602,18,93.26,71.09,23.51,25.77,18.0,27.78,66.67,27.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,5.56,11.11,0.0,0.0,0.0,5.56,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,5.56,0.0,5.56,5.56,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,5.56,11.11,0.0,5.56,5.56,0.0,0.0,0.0,0.0,0.0,16.67,5.56,5.56,5.56,5.56,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11
3863603369,6265468567,testUsername,2022-01-19 15:16:57,6988111565,some text of a tweet,0,0,0,0,False,4424750830,replyUsername,6788210535,0.017492844,6,62.04,95.2,1.0,25.77,6.0,50.0,50.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,16.67,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,16.67,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67
2005131504,976853939,testUsername,2022-01-19 15:03:51,6988111565,some text of a tweet,0,0,1,0,False,2996888908,replyUsername,6988111565,0.16035037,7,99.0,92.33,99.0,25.77,3.5,0.0,85.71,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,14.29,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,0.0,0.0,14.29,0.0,14.29,0.0,14.29,0.0,42.86,14.29,14.29,14.29,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57
6052034740,3801442120,testUsername,2022-01-19 14:50:45,6988111565,some text of a tweet,0,0,1,0,False,2996888908,replyUsername,6988111565,0.13521013,12,93.26,99.0,1.79,99.0,12.0,8.33,75.0,33.33,16.67,8.33,0.0,0.0,0.0,0.0,8.33,8.33,8.33,8.33,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,16.67,0.0,8.33,8.33,0.0,0.0,0.0,0.0,25.0,0.0,8.33,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,8.33,8.33,0.0,8.33,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,25.0
9544765099,8131483792,testUsername,2022-01-19 14:30:14,6988111565,some text of a tweet,0,0,14,1,False,2996888908,replyUsername,6988111565,0.04406188,28,9.53,98.33,1.06,25.77,14.0,32.14,85.71,53.57,21.43,17.86,3.57,0.0,0.0,0.0,14.29,3.57,3.57,3.57,7.14,7.14,10.71,0.0,14.29,0.0,0.0,0.0,0.0,3.57,7.14,3.57,3.57,0.0,0.0,0.0,25.0,3.57,3.57,0.0,3.57,3.57,0.0,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,3.57,0.0,3.57,3.57,3.57,0.0,14.29,0.0,3.57,0.0,3.57,0.0,7.14,3.57,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14
511822618,5139138403,testUsername,2022-01-19 08:28:33,6988111565,some text of a tweet,1,0,1,0,False,2111017046,replyUsername,3501390164,0.092262976,40,25.89,99.0,1.0,72.57,13.33,17.5,90.0,57.5,17.5,15.0,2.5,5.0,2.5,0.0,5.0,2.5,2.5,15.0,10.0,10.0,10.0,0.0,22.5,0.0,0.0,5.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,20.0,0.0,2.5,0.0,2.5,12.5,2.5,5.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,7.5,0.0,12.5,0.0,0.0,0.0,22.5,0.0,2.5,0.0,0.0,2.5,5.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,15.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
3501390164,2111017046,testUsername,2022-01-19 04:09:16,6988111565,some text of a tweet,0,1,0,0,False,5139138403,replyUsername,7394828302,0.09387396,48,85.32,79.76,7.84,92.4,24.0,25.0,77.08,47.92,10.42,8.33,2.08,0.0,0.0,0.0,6.25,2.08,4.17,18.75,6.25,0.0,12.5,0.0,14.58,6.25,4.17,2.08,2.08,2.08,8.33,6.25,2.08,0.0,2.08,0.0,10.42,0.0,2.08,0.0,2.08,4.17,2.08,0.0,0.0,2.08,0.0,0.0,2.08,0.0,0.0,2.08,2.08,0.0,2.08,0.0,0.0,10.42,0.0,4.17,4.17,4.17,0.0,2.08,8.33,0.0,8.33,0.0,6.25,2.08,2.08,2.08,0.0,0.0,0.0,2.08,2.08,0.0,2.08,0.0,0.0,0.0,12.5,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,6.25
7394828302,5139138403,testUsername,2022-01-19 03:52:54,6988111565,some text of a tweet,0,1,1,0,False,2111017046,replyUsername,3966696310,0.028267438,39,77.75,50.0,46.75,73.64,6.5,28.21,79.49,43.59,15.38,10.26,5.13,2.56,2.56,0.0,0.0,5.13,2.56,15.38,7.69,0.0,2.56,2.56,7.69,5.13,0.0,2.56,0.0,0.0,7.69,5.13,2.56,0.0,0.0,0.0,7.69,0.0,2.56,0.0,2.56,7.69,2.56,0.0,0.0,0.0,0.0,5.13,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.26,2.56,2.56,2.56,0.0,2.56,0.0,12.82,0.0,7.69,2.56,5.13,0.0,10.26,0.0,0.0,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.21,12.82,2.56,0.0,0.0,2.56,0.0,0.0,0.0,2.56,0.0,7.69
